Subject,type,alpha,side,sigma
lfoao7r4uxy84db9qd18ag9v.,1,10.0,-0.9560031484538563,2.250414645181573
lfoao7r4uxy84db9qd18ag9v.,2,10.0,-10.0,62.3896061470059
lfoao7r4uxy84db9qd18ag9v.,3,-0.3001398309177978,-0.20076697662605283,0.4055773225235781
lfoao7r4uxy84db9qd18ag9v.,4,-6.602635699997493,3.352160365727711,2.3202324523357696
lwb776999qivpoyrszg9pn2e.,1,10.0,-1.6415576473526252e-07,0.3713396269395839
lwb776999qivpoyrszg9pn2e.,2,10.0,-3.238449905766319e-05,1.1795130276337173
lwb776999qivpoyrszg9pn2e.,3,-1.1229011189773597,1.075425271562104,0.3542630667503048
lwb776999qivpoyrszg9pn2e.,4,-1.2060847067330525,0.9221771945899093,1.0446655633433712
ly1ndfqlpeon5t0x8yr4zapc.,1,10.0,-0.31915161998559843,0.317647619488415
ly1ndfqlpeon5t0x8yr4zapc.,2,10.0,0.48618627272889064,0.341777262096479
ly1ndfqlpeon5t0x8yr4zapc.,3,0.15324374345138536,0.268868832770616,0.4775725331644783
ly1ndfqlpeon5t0x8yr4zapc.,4,-0.8344415195745498,0.9673819461589478,1.07475148479306
m0x7mxhu0yu7w8qv34s4enkx.,1,10.0,0.3330321091168443,0.4079496381091102
m0x7mxhu0yu7w8qv34s4enkx.,2,10.0,-0.19652227618464135,0.6726763078454381
m0x7mxhu0yu7w8qv34s4enkx.,3,0.6577831378316419,-0.045453513612722374,0.20168348750392115
m0x7mxhu0yu7w8qv34s4enkx.,4,-0.3367444453142093,-0.006903691569513224,0.39918291034507936
m19y4phye4ijfvv65rxc84tf.,1,10.0,1.2533346444276248,2.2191940654632005
m19y4phye4ijfvv65rxc84tf.,2,10.0,-5.9780247469994584e-05,1.2745385404195801
m19y4phye4ijfvv65rxc84tf.,3,1.2228633674595992,0.050500506254426494,0.39687347272854306
m19y4phye4ijfvv65rxc84tf.,4,20.0,-10.0,24.147902480299983
mmjtfqmrci8uq48qmlr7rqxi.,1,10.0,-0.31523644009469187,0.2144635669964874
mmjtfqmrci8uq48qmlr7rqxi.,2,10.0,-0.3191517257067153,0.31764760143455484
mmjtfqmrci8uq48qmlr7rqxi.,3,-0.00877330823815665,-0.5007012691538321,0.41230660578328215
mmjtfqmrci8uq48qmlr7rqxi.,4,0.34459838581951124,0.20969986139817365,0.6220530694605994
n73q699ikrhdki2khtk0acey.,1,10.0,-1.1486346448998387e-08,0.32893917640668885
n73q699ikrhdki2khtk0acey.,2,10.0,0.341751430554351,0.45219086402858905
n73q699ikrhdki2khtk0acey.,3,0.23602910798686338,0.15688368541711112,1e-09
n73q699ikrhdki2khtk0acey.,4,-2.9747119765853105,1.0039245495899394,1.4782321733617907
nk3at8lfn0o3igrzttlx3t7g.,1,10.0,-0.2662971644966795,1.1215589572041174
nk3at8lfn0o3igrzttlx3t7g.,2,10.0,0.2203603962528501,0.8371457504340266
nk3at8lfn0o3igrzttlx3t7g.,3,-11.63812850421138,9.756937942956652,4.3278104439275795
nk3at8lfn0o3igrzttlx3t7g.,4,-11.245030588799398,10.0,0.282534627574672
nutt3fvcqnnifj3l6uxjs0yo.,1,10.0,0.6712962223083023,3.2697820189895874
nutt3fvcqnnifj3l6uxjs0yo.,2,10.0,10.0,16.778182236350847
nutt3fvcqnnifj3l6uxjs0yo.,3,-0.7024657608409982,0.16336598622281442,0.8062694229465192
nutt3fvcqnnifj3l6uxjs0yo.,4,-5.065745802289005,1.9856502196112407,2.0749164505706106
nvyarhic8nix5bhiico65vht.,1,10.0,0.17353268194231114,0.4873277137554592
nvyarhic8nix5bhiico65vht.,2,10.0,0.4989491557518144,0.38942242974364966
nvyarhic8nix5bhiico65vht.,3,0.84652963316869,-0.08565895277482351,0.4294236585974776
nvyarhic8nix5bhiico65vht.,4,-1.2951524403725083,0.1589821694852302,0.42694937327815
nyaqibgys6bhobnj2c2xplz3.,1,10.0,0.42434806193814084,0.7711304965760851
nyaqibgys6bhobnj2c2xplz3.,2,10.0,0.38003769702948514,0.6133069589892695
nyaqibgys6bhobnj2c2xplz3.,3,1.6962771073151304,-0.4101095128991475,0.5630758046098591
nyaqibgys6bhobnj2c2xplz3.,4,2.01044393298409,0.1673280528952386,1.4819958734463201
pfpu8ycuuz69vefmakpdrsom.,1,10.0,-9.465897458255619e-07,0.24079247813332613
pfpu8ycuuz69vefmakpdrsom.,2,10.0,-0.32539571147693563,0.3634110363805523
pfpu8ycuuz69vefmakpdrsom.,3,0.16292121177250682,-0.3917481543747654,0.30603410235869466
pfpu8ycuuz69vefmakpdrsom.,4,-0.3630478763997629,0.7129757818538325,0.2706294173583533
qe48pgqry97335lt6mio0v5n.,1,10.0,-9.377835876073505e-07,0.2856938312999436
qe48pgqry97335lt6mio0v5n.,2,10.0,0.36282062943002236,1e-09
qe48pgqry97335lt6mio0v5n.,3,2.086989389303432,-0.8511349362126817,0.26262629909658447
qe48pgqry97335lt6mio0v5n.,4,-1.7746077310384933,0.33005013978626824,0.6828124301585449
qnz9x517dryezj4ubt2ugqnu.,1,10.0,-0.15869201058270993,0.26996763766316656
qnz9x517dryezj4ubt2ugqnu.,2,10.0,-0.16097922939147155,0.2216563825388809
qnz9x517dryezj4ubt2ugqnu.,3,-0.03325755589456593,-0.29649849980128296,0.21522776187630518
qnz9x517dryezj4ubt2ugqnu.,4,-0.40375149590887643,0.283971888025074,1e-09
qr8vewgc6ztrr4xft956iugr.,1,10.0,0.16097922113612834,0.22165638318845915
qr8vewgc6ztrr4xft956iugr.,2,10.0,-1.0511509893249271e-06,0.6592200456117152
qr8vewgc6ztrr4xft956iugr.,3,0.38923476760083725,0.10232194280321116,1e-09
qr8vewgc6ztrr4xft956iugr.,4,-5.2516154887983,3.1768779259070903,4.792349864853315
qzfg5c2l3alspinn9ir3loo2.,1,10.0,-4.973769352677842e-07,0.4134684970958952
qzfg5c2l3alspinn9ir3loo2.,2,10.0,6.363685055071367e-06,0.192769486595477
qzfg5c2l3alspinn9ir3loo2.,3,-0.24583087817957783,-0.03726978382882699,0.43671525793732013
qzfg5c2l3alspinn9ir3loo2.,4,-0.5815670741913403,0.3091384656749172,0.2641519439712032
r7ds1nnw53cxvgcdga3i0xr9.,1,10.0,-6.380460285280122e-08,0.3713396393627675
r7ds1nnw53cxvgcdga3i0xr9.,2,10.0,0.16905889621248107,0.44415192817973026
r7ds1nnw53cxvgcdga3i0xr9.,3,-0.4559677063438686,-0.022342553853925994,0.9126532797442846
r7ds1nnw53cxvgcdga3i0xr9.,4,0.15815100710885635,0.2823175069389165,0.48854191613738945
ryp8pbrx06o3lf9kk3xmrvd4.,1,10.0,-0.16184511738301063,0.3585810395979496
ryp8pbrx06o3lf9kk3xmrvd4.,2,10.0,-1.1791126957998822e-07,0.49871493581100573
ryp8pbrx06o3lf9kk3xmrvd4.,3,-0.9179107517213341,1.2172794455712226,0.4433611725913312
ryp8pbrx06o3lf9kk3xmrvd4.,4,-1.1223436579402353,0.5715815810251411,1.6662021527519904
s7svn5ooz9hjgnhh8y2rk49w.,1,10.0,0.22911446410331182,0.01084118790144182
s7svn5ooz9hjgnhh8y2rk49w.,2,10.0,2.4858487185411307e-06,1.000000082740371e-09
s7svn5ooz9hjgnhh8y2rk49w.,3,-0.27551127449699603,-0.27491489075118136,1e-09
s7svn5ooz9hjgnhh8y2rk49w.,4,0.0013808390275020371,0.03488395434527526,1e-09
sk8xhhz7i16yvcknat7l6myb.,1,10.0,-0.319151473842948,0.3176476310592705
sk8xhhz7i16yvcknat7l6myb.,2,10.0,-0.6303082877327735,0.7376884546953546
sk8xhhz7i16yvcknat7l6myb.,3,-0.4213419897951783,-0.1570952056697819,0.6714843550555653
sk8xhhz7i16yvcknat7l6myb.,4,-1.904484815832851,0.9740518629385139,2.483556524169678
so1kmb7czojgpong8ho5kokg.,1,10.0,0.9833989674347072,0.5793133563367185
so1kmb7czojgpong8ho5kokg.,2,10.0,0.3191515644675325,0.3176453304262998
so1kmb7czojgpong8ho5kokg.,3,1.1255740402100896,-1.6161498389154978,1.0334139052503106
so1kmb7czojgpong8ho5kokg.,4,0.5407209568855474,-0.16970763868873595,0.16577214355565847
t2u2ja58o53je7gqs3l6gs9f.,1,10.0,1.3082965051101214e-06,0.24079247611837204
t2u2ja58o53je7gqs3l6gs9f.,2,10.0,-0.2291144458619142,0.011022823168551844
t2u2ja58o53je7gqs3l6gs9f.,3,1.716044075035134,-0.8231689547012919,0.8525914415468298
t2u2ja58o53je7gqs3l6gs9f.,4,2.5661867968814276,-2.163151454658289,0.8726977906215972
tj5bifpb7nbzq1y66xilapy6.,1,10.0,-2.3775881959563045e-09,0.19276993886064156
tj5bifpb7nbzq1y66xilapy6.,2,10.0,10.0,61.485654679029004
tj5bifpb7nbzq1y66xilapy6.,3,0.1871600706453746,-0.27947609095978315,0.5662584514139046
tj5bifpb7nbzq1y66xilapy6.,4,-20.0,7.694555014785357,5.9474806661030355
u7bsetm5waqp5rswdz0kiidq.,1,10.0,0.22911449353348273,0.011035888036219344
u7bsetm5waqp5rswdz0kiidq.,2,10.0,0.2989738620293174,1.3105356074593018
u7bsetm5waqp5rswdz0kiidq.,3,0.8335074650735733,-0.441275364635479,0.3126156503748599
u7bsetm5waqp5rswdz0kiidq.,4,0.715926368091189,0.05067908976462374,0.42079123531777196
